Question,Expected SQL,Generated SQL,Executed Successfully,Correct Result,Retry Needed,Final Status,Latency (s)
List order numbers,SELECT orderNumber FROM orders;,"SELECT ""orderNumber"" FROM orders;",Yes,No,Yes,Wrong Result,35.87
Get orders with customer names,"SELECT o.orderNumber, o.orderDate, c.customerName FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;","SELECT orders.*, customers.customerName FROM orders JOIN customers ON orders.""customerNumber"" = customers.""customerNumber"";",No,No,Yes,Failed,56.06
Get employees with office city,"SELECT e.firstName, e.lastName, o.city FROM employees e JOIN offices o ON e.officeCode = o.officeCode;","SELECT employeeNumber, firstName || ' ' || lastName AS name, city FROM employees JOIN offices ON employees.officeCode = offices.officeCode;",No,No,Yes,Failed,17.74
Get payments with customer names,"SELECT c.customerName, p.amount, p.paymentDate FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber;","SELECT payments.*, customers.customerName FROM payments JOIN customers ON payments.""customerNumber"" = customers.""customerNumber"";",No,No,Yes,Failed,58.89
Get order details with product names,"SELECT od.orderNumber, p.productName, od.quantityOrdered, od.priceEach FROM orderdetails od JOIN products p ON od.productCode = p.productCode;","SELECT od.""orderNumber"", od.""productCode"", od.""quantityOrdered"", od.""priceEach"", p.""productName"" FROM orderdetails od JOIN products p ON od.""productCode"" = p.""productCode"";",Yes,No,Yes,Wrong Result,64.31
Get products with product line description,"SELECT p.productName, pl.textDescription FROM products p JOIN productlines pl ON p.productLine = pl.productLine;",,No,No,No,Failed,5.91
Get customers with sales rep names,"SELECT c.customerName, e.firstName, e.lastName FROM customers c JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber;","SELECT c.""customerName"", e.""firstName"" || ' ' || e.""lastName"" AS repName FROM customers c LEFT JOIN employees e ON c.""salesRepEmployeeNumber"" = e.""employeeNumber"";",Yes,No,Yes,Wrong Result,49.47
Get orders with customer city,"SELECT o.orderNumber, o.orderDate, c.city FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;","SELECT o.*, c.city FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"";",Yes,No,Yes,Wrong Result,49.61
Get employees and their manager,"SELECT e.firstName AS employee_first, e.lastName AS employee_last, m.firstName AS manager_first, m.lastName AS manager_last FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;",,No,No,No,Failed,9.7
Get orderdetails with product vendor,"SELECT od.orderNumber, p.productVendor, od.quantityOrdered FROM orderdetails od JOIN products p ON od.productCode = p.productCode;","SELECT od.*, p.productName, p.productVendor 
FROM orderdetails od 
JOIN products p ON od.""productCode"" = p.""productCode"";",No,No,Yes,Failed,46.07
Get payments with customer country,"SELECT c.customerName, c.country, p.amount FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber;","SELECT payments.*, customers.country FROM payments JOIN customers ON payments.""customerNumber"" = customers.""customerNumber"";",Yes,No,Yes,Wrong Result,47.43
Count customers per country,"SELECT country, COUNT(*) AS customer_count FROM customers GROUP BY country ORDER BY customer_count DESC;","SELECT country, COUNT(*) AS customercount FROM customers GROUP BY country ORDER BY country;",Yes,Yes,No,Success,11.09
Total payments per customer,"SELECT c.customerName, SUM(p.amount) AS total_payments FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber GROUP BY c.customerName ORDER BY total_payments DESC;","SELECT payments.""customerNumber"", SUM(payments.amount) AS total_payment FROM payments JOIN customers ON payments.""customerNumber"" = customers.""customerNumber"" GROUP BY payments.""customerNumber"";",Yes,No,Yes,Wrong Result,53.89
Number of orders per status,"SELECT status, COUNT(*) AS order_count FROM orders GROUP BY status;","SELECT status, COUNT(*) AS order_count FROM orders GROUP BY status;",Yes,Yes,No,Success,18.08
Products per product line,"SELECT productLine, COUNT(*) AS product_count FROM products GROUP BY productLine;","SELECT productlines.productLine, COUNT(products.productCode) AS product_count FROM products JOIN productlines ON products.""productLine"" = productlines.productLine GROUP BY productlines.productLine;",No,No,Yes,Failed,45.83
Employees per office,"SELECT o.city, COUNT(e.employeeNumber) AS employee_count FROM employees e JOIN offices o ON e.officeCode = o.officeCode GROUP BY o.city;","SELECT o.officeCode, o.city, COUNT(e.employeeNumber) AS employee_count FROM offices o LEFT JOIN employees e ON e.officeCode = o.officeCode GROUP BY o.officeCode, o.city;",No,No,Yes,Failed,61.69
Total stock per product vendor,"SELECT productVendor, SUM(quantityInStock) AS total_stock FROM products GROUP BY productVendor ORDER BY total_stock DESC;","SELECT ""productVendor"" AS vendor_name, SUM(""quantityInStock"") AS total_stock FROM products GROUP BY ""productVendor""",Yes,No,Yes,Wrong Result,41.02
Average buy price per product line,"SELECT productLine, ROUND(AVG(buyPrice), 2) AS avg_buy_price FROM products GROUP BY productLine;","SELECT p.""productLine"" AS product_line, AVG(p.""buyPrice"") AS average_buy_price
FROM products p
GROUP BY p.""productLine"";",Yes,No,Yes,Wrong Result,54.61
Orders per customer,"SELECT c.customerName, COUNT(o.orderNumber) AS order_count FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber GROUP BY c.customerName ORDER BY order_count DESC;","SELECT c.customerNumber AS customer_id, COUNT(o.orderNumber) AS order_count FROM customers c LEFT JOIN orders o ON o.""customerNumber"" = c.""customerNumber"" GROUP BY c.customerNumber ORDER BY c.customerNumber;",No,No,Yes,Failed,48.27
Max MSRP per product line,"SELECT productLine, MAX(MSRP) AS max_MSRP FROM products GROUP BY productLine;","SELECT p.""productLine"", MAX(p.""MSRP"") AS MaxMSRP FROM products p GROUP BY p.""productLine"";",Yes,No,Yes,Wrong Result,46.51
Min buy price per vendor,"SELECT productVendor, MIN(buyPrice) AS min_buy_price FROM products GROUP BY productVendor;","SELECT ""productVendor"", MIN(""buyPrice"") AS min_price FROM products GROUP BY ""productVendor"";",Yes,No,Yes,Wrong Result,47.45
Total number of customers,SELECT COUNT(*) AS total_customers FROM customers;,SELECT COUNT(*) FROM customers;,Yes,Yes,No,Success,24.87
Total number of products,SELECT COUNT(*) AS total_products FROM products;,SELECT count(*) FROM products;,Yes,Yes,No,Success,19.61
Total revenue from payments,SELECT SUM(amount) AS total_revenue FROM payments;,SELECT sum(amount) FROM payments;,Yes,Yes,No,Success,18.18
Average product price,"SELECT ROUND(AVG(buyPrice), 2) AS avg_buy_price FROM products;","SELECT avg(""buyPrice"") AS average_price FROM products;",Yes,No,Yes,Wrong Result,33.4
Max payment amount,SELECT MAX(amount) AS max_payment FROM payments;,SELECT max(amount) FROM payments;,Yes,Yes,No,Success,15.4
Min payment amount,SELECT MIN(amount) AS min_payment FROM payments;,SELECT MIN(amount) FROM payments;,Yes,Yes,No,Success,13.43
Count total orders,SELECT COUNT(*) AS total_orders FROM orders;,"SELECT count(""orderNumber"") FROM orders;",Yes,Yes,Yes,Success,33.96
Total quantity in stock,SELECT SUM(quantityInStock) AS total_quantity_in_stock FROM products;,"SELECT sum(""quantityInStock"") AS total_quantity FROM products;",Yes,No,Yes,Wrong Result,35.11
Average MSRP,"SELECT ROUND(AVG(MSRP), 2) AS avg_MSRP FROM products;","SELECT avg(""MSRP"") FROM products;",Yes,No,Yes,Wrong Result,47.49
Number of employees,SELECT COUNT(*) AS total_employees FROM employees;,SELECT count(*) AS employee_id FROM employees;,Yes,Yes,No,Success,19.41
