Question,Expected SQL,Generated SQL,Executed Successfully,Correct Result,Retry Needed,Final Status,Latency (s)
Get employees with office city,"SELECT e.firstName, e.lastName, o.city FROM employees e JOIN offices o ON e.officeCode = o.officeCode;","SELECT e.""employeeNumber"" AS ""EmployeeID"", e.""firstName"" || ' ' || e.""lastName"" AS ""EmployeeName"", o.""city"" AS ""City"" FROM ""employees"" e JOIN ""offices"" o ON e.""officeCode"" = o.""officeCode"";",Yes,No,No,Wrong Result,18.43
Get payments with customer names,"SELECT c.customerName, p.amount, p.paymentDate FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber;","SELECT p.""checkNumber"" AS payment_id, p.""amount"", p.""paymentDate"" AS payment_date, c.""customerName"" AS customer_name FROM ""payments"" p JOIN ""customers"" c ON p.""customerNumber"" = c.""customerNumber"";",Yes,No,No,Wrong Result,24.57
Get order details with product names,"SELECT od.orderNumber, p.productName, od.quantityOrdered, od.priceEach FROM orderdetails od JOIN products p ON od.productCode = p.productCode;","SELECT o.""orderNumber"" AS ""OrderID"", od.""orderNumber"" AS ""OrderDetailID"", od.""quantityOrdered"" AS ""Quantity"", od.""priceEach"" AS ""UnitPrice"", p.""productName"" AS ""ProductName""
FROM ""orders"" o
JOIN ""orderdetails"" od ON od.""orderNumber"" = o.""orderNumber""
JOIN ""products"" p ON p.""productCode"" = od.""productCode"";",Yes,No,No,Wrong Result,26.29
Get products with product line description,"SELECT p.productName, pl.textDescription FROM products p JOIN productlines pl ON p.productLine = pl.productLine;","SELECT p.""productCode"" AS product_id, p.""productName"" AS product_name, p.""productLine"" AS product_line_id, pl.""textDescription"" AS description FROM ""products"" p JOIN ""productlines"" pl ON p.""productLine"" = pl.""productLine"";",Yes,No,No,Wrong Result,22.94
Get customers with sales rep names,"SELECT c.customerName, e.firstName, e.lastName FROM customers c JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber;","SELECT c.""customerName"", e.""firstName"" || ' ' || e.""lastName"" AS ""repName""
FROM ""customers"" c
LEFT JOIN ""employees"" e ON c.""salesRepEmployeeNumber"" = e.""employeeNumber"";",Yes,No,No,Wrong Result,31.1
Get orders with customer city,"SELECT o.orderNumber, o.orderDate, c.city FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;","SELECT o.""orderNumber"", o.""orderDate"", o.""requiredDate"", o.""shippedDate"", o.""status"", o.""comments"", o.""customerNumber"", c.""city""
FROM ""orders"" AS o
JOIN ""customers"" AS c ON o.""customerNumber"" = c.""customerNumber"";",Yes,No,No,Wrong Result,53.25
Get employees and their manager,"SELECT e.firstName AS employee_first, e.lastName AS employee_last, m.firstName AS manager_first, m.lastName AS manager_last FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;","SELECT e.""employeeNumber"", e.""firstName"", e.""lastName"", e.""reportsTo"" AS ""managerEmployeeNumber"", m.""firstName"" AS ""managerFirstName"", m.""lastName"" AS ""managerLastName"" FROM ""employees"" e LEFT JOIN ""employees"" m ON e.""reportsTo"" = m.""employeeNumber"";",Yes,No,No,Wrong Result,82.96
Get orderdetails with product vendor,"SELECT od.orderNumber, p.productVendor, od.quantityOrdered FROM orderdetails od JOIN products p ON od.productCode = p.productCode;",,No,No,No,Failed,7.67
Get payments with customer country,"SELECT c.customerName, c.country, p.amount FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber;","SELECT p.""checkNumber"" AS payment_id, p.amount, p.""paymentDate"" AS payment_date, p.""customerNumber"" AS customer_id, c.country FROM payments p JOIN customers c ON p.""customerNumber"" = c.""customerNumber"";",Yes,No,No,Wrong Result,27.46
Count customers per country,"SELECT country, COUNT(*) AS customer_count FROM customers GROUP BY country ORDER BY customer_count DESC;","SELECT ""country"" AS ""Country"", COUNT(*) AS ""CustomerCount"" FROM ""customers"" GROUP BY ""country"" ORDER BY ""Country"";",Yes,No,No,Wrong Result,23.29
Total payments per customer,"SELECT c.customerName, SUM(p.amount) AS total_payments FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber GROUP BY c.customerName ORDER BY total_payments DESC;",,No,No,No,Failed,12.9
Number of orders per status,"SELECT status, COUNT(*) AS order_count FROM orders GROUP BY status;","SELECT ""status"", COUNT(*) AS order_count FROM ""orders"" GROUP BY ""status"";",Yes,Yes,No,Success,12.85
Products per product line,"SELECT productLine, COUNT(*) AS product_count FROM products GROUP BY productLine;","SELECT pl.""productLine"", COUNT(p.""productCode"") AS ""ProductCount""
FROM ""productlines"" pl
LEFT JOIN ""products"" p ON p.""productLine"" = pl.""productLine""
GROUP BY pl.""productLine""
ORDER BY pl.""productLine"";",Yes,No,No,Wrong Result,128.15
Employees per office,"SELECT o.city, COUNT(e.employeeNumber) AS employee_count FROM employees e JOIN offices o ON e.officeCode = o.officeCode GROUP BY o.city;","SELECT o.""officeCode"" AS office_id, o.""city"" AS office_name, COUNT(e.""employeeNumber"") AS employee_count FROM ""offices"" o LEFT JOIN ""employees"" e ON e.""officeCode"" = o.""officeCode"" GROUP BY o.""officeCode"", o.""city"" ORDER BY o.""officeCode"";",Yes,No,No,Wrong Result,30.84
Total stock per product vendor,"SELECT productVendor, SUM(quantityInStock) AS total_stock FROM products GROUP BY productVendor ORDER BY total_stock DESC;","SELECT ""productVendor"" AS vendor_name, SUM(""quantityInStock"") AS total_stock FROM ""products"" GROUP BY ""productVendor"";",Yes,No,No,Wrong Result,23.05
Average buy price per product line,"SELECT productLine, ROUND(AVG(buyPrice), 2) AS avg_buy_price FROM products GROUP BY productLine;",,No,No,No,Failed,84.09
Orders per customer,"SELECT c.customerName, COUNT(o.orderNumber) AS order_count FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber GROUP BY c.customerName ORDER BY order_count DESC;","SELECT c.""customerNumber"" AS customer_id, COUNT(o.""orderNumber"") AS order_count FROM ""customers"" c LEFT JOIN ""orders"" o ON o.""customerNumber"" = c.""customerNumber"" GROUP BY c.""customerNumber"";",Yes,No,No,Wrong Result,31.43
Max MSRP per product line,"SELECT productLine, MAX(MSRP) AS max_MSRP FROM products GROUP BY productLine;","SELECT p.""productLine"" AS product_line, MAX(p.""MSRP"") AS max_msrp FROM ""products"" p GROUP BY p.""productLine"";",Yes,No,No,Wrong Result,20.58
Min buy price per vendor,"SELECT productVendor, MIN(buyPrice) AS min_buy_price FROM products GROUP BY productVendor;","SELECT ""productVendor"" AS vendor_name, MIN(""buyPrice"") AS min_price FROM ""products"" GROUP BY ""productVendor"";",Yes,No,No,Wrong Result,36.97
Total number of customers,SELECT COUNT(*) AS total_customers FROM customers;,"SELECT COUNT(*) AS total_customers FROM ""customers"";",Yes,Yes,No,Success,16.93
Total number of products,SELECT COUNT(*) AS total_products FROM products;,"SELECT COUNT(*) AS total_products FROM ""products"";",Yes,Yes,No,Success,16.48
Total revenue from payments,SELECT SUM(amount) AS total_revenue FROM payments;,,No,No,No,Failed,4.05
Average product price,"SELECT ROUND(AVG(buyPrice), 2) AS avg_buy_price FROM products;","SELECT AVG(""buyPrice"") AS ""average_price"" FROM ""products"";",Yes,No,No,Wrong Result,27.6
Max payment amount,SELECT MAX(amount) AS max_payment FROM payments;,"SELECT MAX(""amount"") FROM ""payments"";",Yes,No,No,Wrong Result,26.59
Min payment amount,SELECT MIN(amount) AS min_payment FROM payments;,"SELECT MIN(""amount"") FROM ""payments"";",Yes,No,No,Wrong Result,26.05
Count total orders,SELECT COUNT(*) AS total_orders FROM orders;,"SELECT COUNT(*) AS total_orders FROM ""orders"";",Yes,Yes,No,Success,31.02
Total quantity in stock,SELECT SUM(quantityInStock) AS total_quantity_in_stock FROM products;,"SELECT SUM(""quantityInStock"") AS total_quantity FROM ""products"";",Yes,No,No,Wrong Result,26.16
Average MSRP,"SELECT ROUND(AVG(MSRP), 2) AS avg_MSRP FROM products;","SELECT AVG(""MSRP"") AS ""average_MSRP"" FROM ""products"";",Yes,No,No,Wrong Result,25.63
Number of employees,SELECT COUNT(*) AS total_employees FROM employees;,SELECT COUNT(*) AS employee_id FROM employees;,Yes,No,No,Wrong Result,28.25
